"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Ronald Acuna Jr.","ATL","23.9%","69.7%","42.8%","61.3%","81.7%","75.0%","41.2%","53.1%","10.7%","14.8%","25.5%","18401"
"Curt Casali","SFG","24.0%","75.3%","46.0%","46.8%","83.6%","72.6%","42.9%","63.2%","12.6%","15.5%","28.1%","12510"
"Johan Camargo","ATL","24.0%","54.8%","35.8%","50.0%","82.4%","69.0%","38.3%","55.6%","11.1%","19.8%","30.9%","14950"
"Josh Rogers","WSN","24.0%","53.6%","39.6%","33.3%","86.7%","71.4%","52.8%","78.6%","11.3%","28.3%","39.6%","18510"
"Mitch Garver","MIN","24.2%","60.5%","38.8%","58.0%","80.0%","71.8%","40.0%","56.4%","10.9%","20.7%","31.7%","15161"
"Ronald Guzman","TEX","24.2%","73.0%","50.0%","62.5%","66.7%","65.7%","52.9%","58.8%","17.1%","15.7%","32.9%","14388"
"Eric Lauer","MIL","24.2%","48.6%","36.8%","50.0%","76.5%","68.0%","51.5%","62.2%","11.8%","25.7%","37.5%","19316"
"Daniel Robertson","MIL","24.4%","63.6%","39.0%","49.1%","87.6%","72.6%","37.4%","64.4%","10.7%","20.1%","30.7%","14145"
"Josh Rojas","ARI","24.4%","63.8%","41.9%","64.3%","85.7%","78.8%","44.4%","59.8%","8.9%","19.9%","28.8%","19734"
"Mark Canha","OAK","24.4%","63.1%","40.6%","66.4%","87.6%","80.2%","41.8%","55.5%","8.0%","20.4%","28.4%","11445"
"Tyler Stephenson","CIN","24.5%","63.7%","40.4%","68.7%","91.4%","83.2%","40.5%","62.4%","6.8%","19.6%","26.4%","17988"
"Dylan Moore","SEA","24.6%","62.8%","41.0%","64.6%","81.8%","75.9%","42.9%","63.7%","9.9%","21.1%","31.0%","18042"
"Joey Votto","CIN","24.7%","71.5%","43.9%","57.1%","81.6%","73.5%","41.1%","58.2%","11.6%","15.7%","27.4%","4314"
"Joe Ross","WSN","24.7%","58.2%","42.1%","77.8%","80.4%","79.7%","52.0%","71.8%","8.6%","23.0%","31.6%","12972"
"Chris Taylor","LAD","24.7%","72.5%","45.5%","49.1%","78.4%","69.4%","43.6%","62.2%","13.9%","15.0%","28.9%","13757"
"Ramon Urias","BAL","24.7%","67.9%","43.9%","65.1%","83.9%","78.0%","44.5%","58.1%","9.7%","18.4%","28.1%","18795"
"Will Smith","LAD","24.7%","64.4%","41.9%","69.9%","85.5%","80.3%","43.2%","57.7%","8.3%","19.6%","27.9%","19197"
"Aaron Hicks","NYY","24.7%","62.3%","40.3%","59.5%","81.8%","73.8%","41.5%","55.6%","10.6%","17.8%","28.4%","5297"
"Tommy La Stella","SFG","24.9%","55.9%","39.3%","84.1%","91.8%","89.2%","46.3%","57.0%","4.3%","24.0%","28.2%","12371"
"Madison Bumgarner","ARI","25.0%","62.7%","40.9%","31.4%","56.3%","47.5%","42.1%","61.5%","21.5%","18.6%","40.1%","5524"
"Kyle Hendricks","CHC","25.0%","45.9%","36.5%","69.6%","84.3%","79.7%","54.7%","82.0%","7.4%","30.5%","37.9%","12049"
"Jose Godoy","SEA","25.0%","58.3%","39.3%","58.3%","83.3%","74.2%","42.9%","50.0%","10.1%","21.4%","31.5%","15808"
"Jonathan India","CIN","25.0%","58.2%","39.0%","61.0%","86.7%","77.2%","42.2%","55.2%","8.9%","21.4%","30.3%","21523"
"Eric Sogard","CHC","25.1%","58.8%","41.8%","75.6%","96.5%","90.1%","49.6%","65.6%","4.1%","24.3%","28.4%","7927"
"Ryan McKenna","BAL","25.2%","68.5%","43.8%","55.8%","74.0%","68.0%","42.9%","64.0%","14.0%","17.3%","31.3%","19928"
